Theme	Parent	Definition	Example	References
reverse aging alien	biologically distinguished life form	There is an alien that ages from old to young.		
rise to prominence from humble beginnings	human aspiration	A character who has little or no particular social status at birth rises to a prominent position, usually due to their talents and hard work.		
rite of passage into manhood	growing up	A young male performs a feat that according to his culture (in part or wholly) qualifies him for status as adult.		
romantic fidelity	romantic relationship	The question of monogamatic faithfulness arises between two characters in a romantic relationship. This usually appears because one of the pair is tempted by an attraction to someone else, or one of the pair jealously perceives it to be so.		https://en.wikipedia.org/wiki/Infidelity
romantic infidelity	romantic relationship	The question of monogamatic faithfulness arises between two characters in a romantic relationship. This usually appears because one of the pair is tempted by an attraction to someone else, or one of the pair jealously perceives it to be so.		
sacred ground	religion	There is a religious faith that for one reason or another considers a particular plot of land to be sacred.		https://en.wikipedia.org/wiki/Sacred#Sacred_ground
sacrifice for a child	self-sacrifice	A character endangers themself in order to save or otherwise benefit a child.		
sacrifice for a mad stranger	self-sacrifice	A character endangers themself in order to save or otherwise benefit a crazy person with whom they are not really acquainted.		
secret toenail compartment	human enhancement	A character has a fake toenail that conceals a secret compartment.		
sentient bomb	AI technology	There is an explosive device with a built in artificial intelligence that is self-aware and able to make complex strategical decisions on pair with humans.		
short and sweet life vs. long and miserable life	life choice	A character chooses or rejects living by the age old doctrine of "live fast and die young".		
soap opera	the fine arts and the humanities	The art of creating episodic works of fiction presented in serial format on television, radio and in novels, featuring the lives of many characters and focusing on emotional relationships to the point of melodrama, is featured.		https://en.wikipedia.org/wiki/Soap_opera
sophistry	group interaction	Someone must choose whether or not to kill people, or perhaps even an entire species of sentient beings, to acquire wealth. Outlandish as this may sound, mankind has a long history of engaging in intellectual sophistry for the sake of personal gain; remember the North American slave trade.		
space cesarean section	fictional apparatus	A cesarean section is performed in outer space.		
space cloud life form	spaceborne life form	A life form that exists as an expansive, gaseous cloud in outer space.		
space folding travel technology	fictional apparatus	A spaceship, or the technology that enables a spaceship, to travel possibly vast distances by folding space is featured.		
space prison	mastering space	There is a prison in outer space.		
space protozoa	spaceborne life form	A spaceborne alien life form with protozoan-like characteristics, such as flagella, is featured.		
sparing someone an ethical dilemma	self-sacrifice	A character grapples with sparing someone with facing an ethical dilemma.		
special relativity	topic in science	Albert Einstein's theory regarding the relationship between space and time is featured.		https://en.wikipedia.org/wiki/Special_relativity
stage fright	state of mind	A character experiences anxiety stemming from the requirement to perform in front of an audience.		https://en.wikipedia.org/wiki/Stage_fright
star-crossed lovers	romantic love	A pair of lovers whose relationship is often thwarted by outside forces is featured.		https://en.wikipedia.org/wiki/Star-crossed
status symbols in society	domestic social issue	The role os status symbols in society is featured.		
super accelerated Darwinian evolution	alternate laws of nature	We imagine what the world would be like if some beings in it "evolved" at a much accelerated rate.		
survival of the species vs. compromising ones ethical principles	personal ethical dilemma	A character is faced with having to do something unethical in order to save their species from extinction.		
symbiogenesis	topic in science	The evolutionary theory of the origin of eukaryotic cells from prokaryotic organisms holding that the organelles distinguishing eukaryote cells evolved through symbiosis of individual single-celled prokaryotes.		https://en.wikipedia.org/wiki/Symbiogenesis
telepathic memory transfer	alternate laws of nature	Memories are transferred from mind to mind via telepathy instead of, say, spoken communication.		
the art of blowing one's nose	human nature	The proper techniques and etiquette for blowing one's nose are featured.		
the big bang	topic in science	The Big Bang theory of the origin of the universe is featured.		
the boogeyman	superstition	A mythical creature used by adults to frighten children into good behavior is featured.		https://en.wikipedia.org/wiki/Bogeyman
the dangers of smoking	contemporary social issue	The adverse health effects of smoking tobacco are featured.		https://en.wikipedia.org/wiki/Health_effects_of_tobacco
the dangers of unchecked ambition	contemporary social issue	The adverse effects to society of ambition left unchecked are explored, for example, Napoleon and the Napoleonic Wars.		http://www.infobasepublishing.com/Bookdetail.aspx?ISBN=0816071616
the decision to have a child	parenting	A character deliberates over whether or not to bring a child into the world.		
the desire for fame	human aspiration	A character manifests a strong desire to become famous.		
the desire for glory in battle	human aspiration	A character manifests a strong desire to become famous for having performed great feats in battle.		
the desire to have followers	human aspiration	A character expresses a desire to have a few followers.		
the difficulty of picking a name	life choice	A character experiences the trials and tribulations that come with choosing a name for their baby.		
the enemy of my enemy is my friend	life lesson	A character comes to learn that the enemy of their enemy is their friend � or perhaps not.		
Flatland communication problem	problem of language and meaning	The idea that beings who for all intents and purposes inhabit a x-dimensional world will have trouble communicating with beings that inhabit a y-dimensional world (whenever x is different from y) because they perceive things in such a radically different way is illustrated. Since we normally perceive three dimension, that common case in stories is to have 3D beings face 2D or 4D beings.		https://en.wikipedia.org/wiki/Flatland
the function of a surprise party	human nature	The reasons why surprise parties constitute an important part of social life are explored.		
the genius was really a time traveler	crackpot theory	The crackpot theory that genius is attributable to time travelers returning to the past equipped with future ideas.		
the importance of remembering history	contemporary social issue	The importance to a well-functioning society of remembering history is featured.		
the importance of sticking to one's moral principles	life lesson	This life lesson is conveyed.		
the limits of science	metaphysics	The empirical limits of science in regard to limits of human ability to inquire and answer questions about phenomena.		https://en.wikipedia.org/wiki/Empirical_limits_in_science
the meaning of life	human nature	Questions about the significance of living or existence in general are discussed.		https://en.wikipedia.org/wiki/Meaning_of_life
the nature of being sick	human nature	We are shown what it is like to be sick through the eyes of a character experiencing illness.		
the nature of fear	human nature	The experience of fear and its root causes is discussed.		
the nature of meditation	human nature	The experience and/or value of meditation is discussed.		
the need for sleep	human need	It is illustrated that people, in order to function well, need sleep.		
the need to understand someone's motives	human aspiration	This need is featured.		
the right to commit suicide	human rights	The right, or lack thereof, of a person to end their own life or to undergo voluntary euthanasia.		https://en.wikipedia.org/wiki/Right_to_die
the rudeness of eavesdropping	group interaction	The rudeness of listening in on someone without their prior knowledge is conveyed.		
the sadism of an unfinished story	state of mind	The sadism of leaving readers hanging by not finishing a story is featured.		
the science of cheese	topic in science	The process of how to produce cheese is discussed.		https://en.wikipedia.org/wiki/Cheese
the science of heat	topic in science	What "heat" is and how it works according to modern science is discussed. Loosely, heat is the random motion of atoms and molecules within an object.		https://en.wikipedia.org/wiki/Heat
the smugness of intellectuals in society	contemporary social issue	Smart people being smug about it is featured.		
the trial of Galileo	history	The sequence of events, beginning around 1610, culminating with the trial and condemnation of Galileo Galilei by the Roman Catholic Inquisition in 1633 for his support of heliocentrism.		https://en.wikipedia.org/wiki/Galileo_affair
the unforeseen consequences of supernatural powers	what if society were different	Unexpected things happening when supernatural powers get out of control is featured.		
the wish to live	human nature	The basic instinct in humans to fight for self-preservation is discussed more or less explicitly.		https://en.wikipedia.org/wiki/Will_to_live
time traveler living secretly among us	crackpot theory	The notion that a time traveler is living secretly among normal people is featured.		
understanding by metaphor	problem of language and meaning	Communicating by metaphorical language is featured.		
unknown parent	family affairs	The classical "who is the father?" scenario, according to which there is a child and it is pondered who the real parent is, is featured.		
vigilante justice	contemporary social issue	Extrajudicial punishment that is motivated by the nonexistence of law and order or dissatisfaction with justice is featured.		https://en.wikipedia.org/wiki/Frontier_justice
virtual reality choose your own adventure	fictional apparatus	A virtual reality simulated game with the partaker assuming the role of the protagonist and making choices that determine the main character's actions and the plot's outcome.		https://en.wikipedia.org/wiki/Choose_Your_Own_Adventure
virtual reality sex	fictional apparatus	A technology that allows users to engage in sexual relations with virtually reality simulated characters, or receive tactile sensations from remote participants.		https://en.wikipedia.org/wiki/Virtual_reality_sex
virus that grows into large creature	parasitic life form	There is a microscopic virus that can transform into a large creature.		
war of the titans	extraterrestrial threat	There is a war between gods.		
we are valuable beyond what we can offer to others	group interaction	We are shown that people have some intrinsic value beyond what that are useful for to others or society at large.		
we need a balance between rationality and emotionality	life lesson	We are shown that people use a balance of rationality and emotionality in their normal functioning.		
weather control system	fictional apparatus	A machine capable of modifying and controlling weather in its extended vicinity is featured.		
wet dreams	introspection	A character experiences a wet dream.		
what if I became a simulation	what if my life were different	We imagine what it would be like if our consciousness was moved or copied from the world of flesh to run as a simulation in some computer-like device.		https://en.wikipedia.org/wiki/Simulated_reality_in_fiction
what if I became accessory to a friend's crime	what if I faced an incredible situation	We imagine what it might be like to involuntarily be drawn into crime by a less than law-abiding friend.		
what if I could experience a what-if	what if I faced an incredible situation	We imagine what it would be like if we could actually experience what things would be like under some hypothetical scenario of interest.		
what if I could see all the cosmos at once	what if I faced an incredible situation	We imagine what it would be like to suddenly become all-seeing in such a God-like fashion.		
what if I met a Viking	what if I faced an incredible situation	We imagine what it would be like to meet a genuine Viking.		
what if I repeated a portion of my life over and over again	what if I faced an incredible situation	We imagine what it would be like if through some kind of time travel phenomenon we got to relive a portion of our life over repeatedly but with our memories from time  to time intact.		http://tvtropes.org/pmwiki/pmwiki.php/Main/GroundhogDayLoop
what if I was cast into a lawless dungeon and had to fight for survival	what if I faced an incredible situation	We imagine what it would be like to face this peculiar situation.		
what if my partner switched gender	what if I faced an incredible situation	We imagine what it would be like if our partner (in the romantic sense) suddenly switched gender for some reason. 		
what if people around me started disappearing one by one	what if I faced an incredible situation	We imagine what it would be like if people around us just started to mysteriously disappear  one after the other.		
what if the world was continually rearranging itself around me	what if I faced an incredible situation	We imagine what it'd be like to find the world suddenly changing inconsistently around us.		
what if there was a huge robotic war	what if society were different	We imagine what society would be like if it was in disarray because of a worldwide war between autonomous robots.		
what if there were people with out of control psychokinetic powers	what if society were different	We imagine what the world and society would be like if there were some individuals around that had immense supernatural powers but were not entirely able to control them.		
what if two people were combined into one person	what if I faced an incredible situation	We are made to imagine the hypothetical scenario that two people are somehow combine into one, typically receiving physical and mental traits from both progenitors and having the memories of both.		
what it's like to be a bum	way of life	We are made to ponder what life is like for a poor downtrodden man or woman  living on the streets.		
where do we come from	metaphysics	The question of where humans came from is pondered.		
where to make one's home	life choice	Someone wrestles with the rather basic life decision of where to settle down and live out at least a good portion of their life.		
why good people do bad things	human nature	The philosophical question of what can cause an otherwise good person to commit a crime is discussed.		
woman making the first move	the battle of the sexes	The outrageous notion that a woman might make the first move on a man to initiate  a conventional heterosexual romantic affair is floated.		
workplace rivalry	group interaction	Two or more people squabbling over common workplace issues such as pecking order and promotion, are featured.		
out of control AI	contemporary social issue	An AI goes amok and makes trouble for society.		https://en.wikipedia.org/wiki/AI_takeover
the indignities of flesh	human nature	The story comments on what a poor disgusting thing the human body is, usually as seen from the point of view of a hypothetical artificial being.		
germaphobia	pathological state of mind	Someone has a pathological fear of germs and takes extraordinary precautions to keep away from them.		
OCD	pathological state of mind	Obsessive-compulsive disorder: someone has a pathological need to need to check things repeatedly, perform certain routines repeatedly, etc. Often featured as  repeated cleaning.		
what if people around me started falling mysteriously ill one by one	what if I faced an incredible situation	We imagine what it would be like if people around us one by one contracted mysterious ailments.		
binary pulsar	what's out there	Two highly magnetized, rotating neutron stars or white dwarfs that emit beams of electromagnetic  radiation rotate about each other and a common center of gravity.		https://en.wikipedia.org/wiki/Binary_pulsar
coping with an overly vigorous massage	coping with problematic people	Someone has to put up with an excruciatingly rough rubbing-down.		
what if I aged rapidly	what if I faced an incredible situation	We imagine what it would be like to age significantly faster than what is normal.		http://tvtropes.org/pmwiki/pmwiki.php/Main/RapidAging
coping with being at the brink of destruction	coping with danger	Someone, alone or in company with others, is harrowed and on the brink of destruction and manages to go on only by the skin of their teeth. Typically they are dirty, injured, thorned and impoverished.		
history altering technology	mastering space	Technology that goes beyond mere space and is capable of altering history itself, usually while  leaving the operator safe from the resulting changes.		
thoughtcrime	what if society were different	We imagine what the world would be like if certain ways of thinking could be detected and punished by the government.		
peaceful telepathic utopia	utopia	Society is peaceful and amicable because people can hear each others' thoughts and have learned to control their anti-social instincts.		
violence in society	domestic social issue	The social implications of there being violent individuals around is discussed.		
prohibition leads to black markets	contemporary social issue	That legally prohibiting an activity tends to give rise to a black market for that activity, is featured.		https://en.wikipedia.org/wiki/Black_market
imprisonment as a punishment	past and present moral controversy	The question of whether it is alright to deprive someone of their freedom as punishment for some offense is discussed.		https://en.wikipedia.org/wiki/Imprisonment
seeing something through to the end	introspection	Someone inspects or is confronted with their own tendency to leave things  unfinished and their resolve to instead see things through to the end.		
theft in society	domestic social issue	The social implications of there being people who steal other people's lawful property are featured.		https://en.wikipedia.org/wiki/Theft
the principles of flight	topic in technology	The mechanical principles that underly various types of flying are discussed.		https://en.wikipedia.org/wiki/Flight
revival long after death	human enhancement	Technology that can bring someone back from death many hours after they are technically dead.		
talking someone out of suicide	one-on-one interaction	Someone is about to commit suicide and someone else tries to talk them out of it.		
godparenthood	parenting	Someone becomes a godfather or godmother.		
godparent and godchild	familial relations	The relationship between a godparent and their godchild is featured.		
dream walking	superstition	The idea that dreams are something real that, consequently, can be entered by  other people and so on.		
dream walking alien	mentally distinguished life form	There's an alien species the members of which can enter the dreams of other people.		
the nature of nightmares	human nature	Peoples' nightmares and people having nightmares is featured in detail.		https://en.wikipedia.org/wiki/Nightmare
what if people around me started falling into comas one by one	what if I faced an incredible situation	We imagine what it'd be like to see people around us fall into comas one after the other.		
collective dreaming	superstition	The idea that people can literally share the same dream and transmit information  from one to the other in it.		
lucid dreaming	human nature	The way we can sometimes dream with full awareness and control of our dream is featured.		https://en.wikipedia.org/wiki/Lucid_dream
manners	group interaction	The importance of, for example, not telling fools they are fools straight to their face is featured.		https://en.wikipedia.org/wiki/Etiquette
galactic communication network	mastering space	A way of communicating in some kind of realtime across the vast distances of the galaxy.		
coping with the defeat of one's people	coping with life issues	Someone deals with the news that their people have been defeated.		
trophy hunting alien	culturally distinguished life form	An alien whose primary raison d'être is to hunt other aliens for sport and take their body parts as trophies.		
predator vs. prey	survival	The prey's struggle for survival against the hunter is featured.		
coping with having been raped	coping with stress	Someone deals with the psychological problems that can come from being violated.		
impartiality in the legal system	contemporary social issue	The problem of ensuring impartiality in the legal system is highlighted. We all suffer from various preconceptions and judges are no exception.		https://en.wikipedia.org/wiki/Impartiality
the importance of reputation	life lesson	The fact that one's reputation is of vital importance to one's well being is highlighted.		
hypnotic regression	topic in science	Hypnosis used to bring out buried or suppressed old memories.		https://en.wikipedia.org/wiki/Age_regression_in_therapy
the importance of firepower	the art of war	The simple fact that pure firepower is important to the outcome of conflict is highlighted.		
the French Resistance	World War II	A collection of French movements that fought against the Nazi German occupation of  France and against the collaborationist Vichy régime during the Second World War		
simulated hunting	simulated reality	Simulated hunting in a virtual reality environment is used as a substitute for the real thing.		
World War II	history	A global war that lasted from 1939 to 1945. It was the most widespread war in history and directly involved more than 100 million people from over 30 countries. Towards the end the participants had formed two opposing military alliances called "the Allies" and "the Axis".		https://en.wikipedia.org/wiki/World_War_II, http://www.sf-encyclopedia.com/entry/world_war_two
cipher codes	topic in science	A collection of more or less complicated algorithms for encryption. These are strategies for writing messages such that they can only be read by those who know the secret to  decoding them.		https://en.wikipedia.org/wiki/Cipher
what if I were hunted for sport	what if I faced an incredible situation	We imagine what it'd be like to be hunted for sport by some superiorly armed and sadistic adversary.		
Nazism	social order	The ideology and set of practices associated with the 20th-century German  Nazi Party are discussed.		https://en.wikipedia.org/wiki/Nazism
what if I found myself in the body of an alien	what if I faced an incredible situation	We imagine what it would be like to suddenly find ourselves inhabiting the body of an alien of some sort.		
feeling tied down in a relationship	introspection	Someone in an otherwise functional relationship re-thinks whether this commitment is preventing them from pursuing more enticing goals in life.		
male fear of commitment	male stereotype	The oft ridiculed male reluctance to engage in or stay with a long-term exclusive romantic commitment, even when it is otherwise good, is featured. While this fear is not exclusive to males, it is notably featured as a male stereotype in some stories.		
body swap	human enhancement	A process by which the consciousness inhabiting one body is swapped with that  inhabiting another body. Each consciousness thus ends up in another body than where it began. Normally only two bodies are involved but the theme does not preclude  the possibility that there are three or more bodies that each end up with a different consciousness than it began with.		http://tvtropes.org/pmwiki/discussion.php?id=p3hoqy13q6z8nvnyru6zc5xi, http://www.sf-encyclopedia.com/entry/identity_exchange
body swapping alien	miscellaneous life form	An alien who has the ability to swap bodies with someone else. This means the target body's former consciousness ends up in the alien's former body, and vice versa.		
spiritual strive towards higher ideal	religion	Someone pursues a higher ideal like those of the world religions, for example the  Christian salvation or the Buddhist Nirvana.		
what if my lover suddenly couldn't remember me	what if I faced an incredible situation	Someone suddenly finds that their lover has lost all memories of them.		
unrememberable alien	mentally distinguished life form	An alien species who cannot be remembered by those they encounter some time after the encounter.		
historical revisionism	contemporary social issue	Some group in society seek to rewrite history in a way that makes it more advantageous to them. This typically involves glossing over inconvenient truths as well as outright lying.		https://en.wikipedia.org/wiki/Historical_revisionism
historiography	history	The methodology of historians studying history. This involves things like the role of  primary evidence.		https://en.wikipedia.org/wiki/Historiography
bio-mimicking life form	shapeshifter	An alien that can copy the shape of other aliens. An original is needed to stand model.		
coping with an unwelcome house guest	coping with problematic people	A reluctant host has to suffer through having a guest that they would rather not have.		
coping with an unwilling host	coping with problematic people	A guest deals with the antics of a host that would rather not have them there.		
male banter	male stereotype	Two male characters exchange banter as males are known to do.		
coping with being alone	coping with social issues	Someone has to deal with being alone for a prolonged period of time.		
claustrophobia	pathological state of mind	Someone is irrationally afraid of being in a confined space.		https://en.wikipedia.org/wiki/Claustrophobia
too good to be true decision	personal practical dilemma	An opportunity that is advantageous but unlikely manifests and one must decide on how to act; it could be a ruse by an unknown adversary.		
if it sounds too good to be true it probably isn't true	life lesson	The age-old adage is illustrated: If circumstances that are extremely advantageous too you manifest against the odds, you should seriously consider that someone  (possibly your self) is simply deceiving you.		https://idioms.thefreedictionary.com/too+good+to+be+true
polyglot alien	mentally distinguished life form	There is an alien that speaks many languages.		
what if I was trapped in a void of nothingness	what if I faced an incredible situation	A character is trapped in a void.		
toxic waste in society	contemporary social issue	The social problem over how to handle various toxic byproducts is discussed.		
transnational conflict over environmental concern	war	Two or more sovereign entities squabble over something related to the environment. For example, one nation's damming of a river may threaten a downstream nation's economy.		
suppression of a technology to preserve an industry	contemporary social issue	The following social problem is featured: People with vested interests try to suppress  new technology in order to preserve the potentially antiquated industry they have shares in.		
nilophobia	pathological state of mind	Someone exhibits an irrational fear of nothingness.		
coping with a friend who is suffering from depression	coping with an affliction	Someone has to deal with having a friend who is more or less clinically depressed.		
survivor guilt	pathological state of mind	Someone has strong feelings of guilt associated with surviving an event in which others perished.		https://en.wikipedia.org/wiki/Survivor_guilt
the right to privacy	human rights	The putative human right to keep some affairs and doings private is discussed.		https://en.wikipedia.org/wiki/Right_to_privacy
self-injurious behavior	pathological state of mind	Someone engages in deliberately reckless behavior or outright self-harm.		https://en.wikipedia.org/wiki/Self-harm
the thrill of danger	pleasant emotion	Someone experiences the feeling of exuberance that can sometimes come with a perilous situation.		
détente	diplomacy	Two parties in a conflict, like the Cold War, try to gradually back down and  defuse the situation.		https://en.wikipedia.org/wiki/D%C3%A9tente
teaching children about death	parenting	Someone, typically a parent, struggles with how to explain death and dying to a child.		
multiple personality disorder	pathological state of mind	A mental disorder characterized by at least two distinct and relatively enduring  identities or dissociated personality states.		https://en.wikipedia.org/wiki/Dissociative_identity_disorder
unethical human experimentation	medical ethics	Medical experiments are carried out on humans and we are asked question such as: Can the ends can justify the means when someone tests medical procedures  and drugs on patients without their informed consent? Is it right to use knowledge that was obtained through atrocities such as the Nazi experimentation in German concentration camps?		https://en.wikipedia.org/wiki/Unethical_human_experimentation
informed consent in medicine	medical ethics	The idea in medical ethics that to the extent possible, a patient should not be subjected  to a treatment unless they have consented to it with a clear understanding of its implications.		https://en.wikipedia.org/wiki/Informed_consent
climate change and bureaucratic inaction	contemporary social issue	The sadly familiar social issue of people around the worlds not being able to  agree on what to do about climate change is featured. A kind of tragedy of the commons.		
coping with being imprisoned	coping with life issues	Someone has to come to terms with being incarcerated.		
water planet to the core	what's out there	There is a planet that is almost 100% water through and through.		
the need for adventure	human need	A character, in order to feel fulfilled, need some kind of adventure in their life.		
solitary confinement as a punishment	past and present moral controversy	Someone is imprisoned in isolation from other people as a punishment. Note that while solitary confinement may sometimes be used out of necessity to protect people, its use merely as a punishment is controversial and may constitute torture due to its adverse psychological effects.		https://en.wikipedia.org/wiki/Solitary_confinement
underwater city	mastering space	A large settlement under water. It might be adapted for air-breathing people somehow,  or it may be inhabited by water breathers.		
passion for photography	human pleasure	Someone likes very much to take pictures with a camera.		https://en.wikipedia.org/wiki/Photography
historical determinism	metaphysics	Some variant of the philosophical concept of determinism is discussed. Determinism is the idea that events can only unfold in a certain way given the preceding state of things; thus history (past, present and future) is fixed and  "free will" is perhaps but an illusion.		https://en.wikipedia.org/wiki/Historical_determinism
Buridan's ass	human nature	There is a situation in which someone is confronted with two equally attractive options. Due to indecision, the chooser fails to decide and the outcome is worse than picking either option could have been.  Background: Buridan's ass is a paradox related to free will that presents a hypothetical situation  wherein an ass (i.e. donkey) that is equally hungry and thirsty is placed precisely between a stack of  hay and a pail of water. The ass dies of both hunger and thirst since it cannot rationally decide  between the hay and the water.		https://en.wikipedia.org/wiki/Buridan%27s_ass
death ray	fictional apparatus	A hypothetical directed energy weapon that induces instant death in its victims.		https://en.wikipedia.org/wiki/Death_ray, http://www.sf-encyclopedia.com/entry/death_rays
the dangers of wishful thinking	life lesson	Someone allows their actions to be unduly influenced by what they desire rather than what is reality, and something bad happens as a consequence.		
STDs in society	contemporary social issue	The social problem of sexually transmitted diseases is discussed.		https://en.wikipedia.org/wiki/Sexually_transmitted_infection
coping with lovesickness	coping with an affliction	Someone is unable to act normally, as if they are ill, because they are so in love.		
metal eating microscopic organism	miscellaneous life form	There is a tiny organism (for example a bacteria) that can devour metal.		
fear of strangers	unpleasant emotion	Someone exhibits an unusual amount of anxiety when encountering new people.		https://en.wikipedia.org/wiki/Xenophobia
what if I discovered that I was a facsimile of someone else	what if I faced an incredible situation	We imagine what it would be like to discover that we are, in fact, merely a copy of someone else who by virtue of prior existence can be considered more genuine.		
choosing between equally futile actions	personal practical dilemma	Someone must decide which action to take even though all potential actions appear equally unappealing. This situation is also allegorically known as "Sheridan's Ass"  after renowned themer Paul Sheridan who noted that it is a mirror reflection  of "Burridan's Ass".		
monogamy vs. single life	life choice	Someone contemplates whether to enter into a presumed monogamous relationship or whether to stay single.		
marriage ceremony	romantic relationship	There is a wedding.		
taking control of one's fears	introspection	Someone looks inwards to understand and take control of their own fears so as not to act irrationally because of them.		
the art of boxing	the art of war	The means and methods by which one may prevail in a fist-fight are discussed.		https://en.wikipedia.org/wiki/Boxing
passion for martial arts	human pleasure	Someone gets a kick out of practicing fighting in a consensual and,  more or less friendly setting.		https://en.wikipedia.org/wiki/Martial_arts
recreational fighting in society	contemporary social issue	The issue of to what extent potentially dangerous fighting between consenting  individuals should be allowed as a sport is discussed. Dueling, for example, has completely vanished and heavy boxing, if permitted, is heavily regulated.		
gene silencing	topic in science	These are various techniques that can be used to prevent the expression of a  certain gene, making it as if the gene was not present.		https://en.wikipedia.org/wiki/Gene_silencing
facing a genius adversary	survival	Someone experiences what it is like to face a genius in a fight, competition, or other adversarial situation.		
brainstorming	group interaction	A number of people sit down together with the express purpose of tossing ideas  back and forth in order to find a solution to a specific problem. 		
toxic waste management	contemporary social issue	The social problem of what to do with toxic waste, for example radioactive garbage, is brought up.		https://en.wikipedia.org/wiki/Toxic_waste
sonic shower	fictional apparatus	A shower-like device that uses sound vibrations instead of water to dislodge the grit from your body.		
developing one's social skills	introspection	Someone seeks to improve their ability to interact socially with other people.		
the nature of human courtship	human nature	The complex ins and outs (no pun intended) of human mating rituals are discussed.		https://en.wikipedia.org/wiki/Courtship
coping with drunken fool	coping with problematic people	Someone suffers through being in the vicinity of an intoxicated person who is  acting obnoxiously, for example at a party.		
gentrification	contemporary social issue	The sometimes contentions process by which deteriorated urban neighborhoods are renovated, resulting in the driving up of prizes and squeezing out of local residents, is featured.		https://en.wikipedia.org/wiki/Gentrification
arcology	mastering space	Architectural design for very densely populated, ecologically low-impact human habitats. Arcology is distinguished from a merely large building in that it is designed to lessen  the impact of human habitation on any given ecosystem. It could be self-sustainable, for example.		https://en.wikipedia.org/wiki/Arcology, http://www.sf-encyclopedia.com/entry/arcology
to settle down vs. to keep on trekking	life choice	Someone considers whether or not it is time to settle down at specific place instead of traveling around.		
ceasing an opportunity vs. keeping the status quo	life choice	Someone must choose whether or not to upend their current life in order to cease at an opportunity that has presented itself.		
coping with being unemployed	coping with life issues	Someone deals with not having a job and the typical problems that come with it.		
wanderlust	human need	The urge some people have to travel the world and explore new places is featured.		
unemployment in society	contemporary social issue	The social problem of people being unemployed against their desire is discussed.		https://en.wikipedia.org/wiki/Unemployment
what if I was yanked out of my normal routine and sent on an important mission	what if I faced an incredible situation	Someone is subjected to this fantastical scenario.		
precrime responsibility	social ethical dilemma	The following hypothetical dilemma is considered: If through some marvel of time travel like  technology it is possible to prove that someone is about to commit a crime in the future, can they then be arrested and considered guilty already in the present?	In Philip K. Dick's 1956 science fiction short story "The Minority Report", PreCrime police officers can put people in a detainment camp before they commit the crime they are destined  to commit.	
the millennium shift	history	One or more topics, for example the Y2K bug scare or the general excitement, that are  connected to the shift from the 2nd to the 3rd millennium in the Gregorian calendar, are featured.		
life in the late 20th century	history	We are shown what life was like for people in the second half of the 20th century.		
sacrifice to prevent mass death	self-sacrifice	Someone does a self-sacrificial thing in order to save a large number of people from death.	In voy5x25 "Warhead" the eponymous warhead (a sentient bomb) decides to detonate to destroy a number of other bombs instead of letting them complete their missing, thereby saving countless innocent lives.	
descent into crime	contemporary social issue	The way that someone can, step by step and without particular premeditation, get  drawn into evermore serious crime is featured.	In voy3x13 "Fair Trade" Neelix did a favor for a friend who turned out to be involved in drug smuggling. After covering up some minor transgressions Neelix eventually found  himself an accomplice to serious crime.  In voy5x26 "Equinox (1)" it is told that the Equinox crew accidentally killed an alien and discovered that its body made excellent fuel. Driven by exceptional need they procured another alien which they murdered for fuel, then another and so on.	http://tvtropes.org/pmwiki/pmwiki.php/Main/SlowlySlippingIntoEvil
becoming like what you oppose	introspection	Someone realizes that by acting like their enemy they are becoming like their enemy.		
duty to disobey illegal orders	past and present moral controversy	We are asked whether an excuse like "I was merely following orders" is acceptable in some scenario where something illegal or unethical has been perpetrated.		https://en.wikipedia.org/wiki/Superior_orders
deciding what is best for the patient	medical ethics	A Doctor alone has to make a decision that will fundamentally affect the future of their patient  in a situation where the patient is not entirely capable of making the choice themselves. The patient might for example be unconscious, immature, or mentally ill.		
what if I went on a journey into the underworld	what if I faced an incredible situation	Someone travels to Hell or some other mythological underworld.		
finding religion	introspection	Someone discovers a place for religion in their life.		
what if I had a near-death experience	what if I faced an incredible situation	Someone is on the brink of death and has peculiar experience as a consequence.		
boyfriend and girlfriend	romantic relationship	There is an informal but extended, presumed monogamous, romantic relationship  between a male character and a female character.		
sentient machine	AI technology	There is a machine, artificial by definition, imbued with intelligence to the level  that it is considered sentient.		
passion for fast vehicles	human pleasure	Someone is excited by cars, boats, planes etc. that go fast.		
mind-controlled vehicle	mind technology	There is a vehicle that is controlled simply by thinking, without using knobs, wheels, levers, etc.		
age sensitivity	human characteristic	A character is touchy on the subject of their age.		
EQ vs. IQ	one-on-one interaction	Featured are the contrasts, interactions and potential conflicts that can arise between people who are more gifted in the emotional compartment than the intellectual on the one hand, and those that are more gifted intellectually than emotionally on the other. IQ here refers to the logical math and puzzle solving abilities oft associated with intellectuals. EQ refers to the ability of people to recognize there own and others'  emotions and respond appropriately to them.		
extrovert vs. introvert	one-on-one interaction	Featured are the contrasts, interactions and potential conflicts that can arise between people who are outgoing and extrovert on the one hand, and people who are reclusive and introvert on the other.		
coping with degrading mental faculties	coping with an affliction	Someone has to learn to live with their mind not being as sharp as it once was. This could happen because of aging, brain trauma, or mysterious alien influences.		
choosing what kind of person one wants to be	life choice	Someone ponders a decision regarding what kind of person they want to be in the future.	In voy6x06 "Riddles", Tuvok has amnesia but learns to enjoy life as his new and now emotional self.  When a cure is found, he contemplates whether or not he really wants to go back to being the cold  emotionless Vulcan automaton he had been before.	
passion for collecting data	human aspiration	A character exhibits a passion for collecting data.		https://en.wikipedia.org/wiki/Data
