Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
religion as a control mechanism	687	social order			The category of themes that deal with issues that are normally discussed in the context of the internal affairs of a sovereign state.	
rule by strength of arm	430	social order			The category of themes that deal with issues that arise when people of different cultures try to interact with one another.	
theocracy	579	social order			The category of themes that deal with issues that arise between two or more sovereign states, i.e., war and diplomacy.	
totalitarianism	728	social order			The category of themes that deal with ideas about abstract social values, such as “human rights” and forms of government.	
domestic social issue	18	society			Aliens with beliefs and mannerisms reminiscent of mid-20th century communists.	The Kohms were mortal enemies of the Yangs in tos2x25 "The Omega Glory", just like Yankees and Commies on 20th century Earth.
intercultural relations	20	society			Aliens with beliefs and mannerisms reminiscent of traditional Catholics.	The inhabitants of Gideon, in spite of suffering horrific over-population, apparently had a practically religious respect for life and aversion to any form of birth control in tos3x17 "The Mark of Gideon".
transnational social issue	39	society			Aliens with beliefs and mannerisms reminiscent of the ancient Egyptians.	The D’Arsay shared some remarkable similarities with the ancient Egyptians in tng7x17 "Masks".
values and ethics in society	23	society			Aliens with the attitudes and mannerisms of 20th century American movie gangsters.	The imitable natives of Sigma Iotia II had gotten hold of a 20th century Earth book about Chigago Mobs and promptly became stereotypical gangsters in tos2x20 "A Piece of the Action".
space Bolsheviks	1364	space stereotype			Aliens with beliefs and mannerisms reminiscent of the Ancient Greeks.	The Platonians of tos3x12 "Plato's Stepchildren" cavorted with the Greeks of old in ancient times.
space Catholics	1365	space stereotype			Aliens with beliefs and mannerisms reminiscent of those weed smoking, Woodstock loving hippies.	Dr. Severin and his loyal disciples displayed all the ideologies and mannerisms of hippies and scolded Kirk for being a rigid narrow-minded “Herbert” in tos3x20 "The Way to Eden".
space Egyptians	1366	space stereotype			Aliens with attitudes and mannerisms reminiscent of 20th century Irish stereotypes.	The Enterprise-D transported a group of technophobic space-colonists of Irish descent, the Bringloidi, in tng2x18 "Up The Long Ladder".
space gangsters	1375	space stereotype		space Nazis	Aliens who due to their ethnicity are persecuted by space Nazis.	The Zeons were persecuted by Ekosians dressed in full Nazi regalia in tos2x23 "Patterns of Force".
space Greeks	925	space stereotype			Aliens that are shunned and isolated because they carry an infectious disease.	A ship of Tarellians was shunned and feared by all because they were carriers of an infectious plague in tng1x11 "Haven".
space hippies	1376	space stereotype			Aliens with beliefs and mannerisms reminiscent of Native Americans before the arrival of the Europeans.	On the planet Amerind there were people who were just like a 20th century stereotype of pre-colonial Native Americans in tos3x03 "The Paradise Syndrome".
space Irish	1367	space stereotype		space Jews	Aliens with attitudes and mannerisms reminiscent of World War II era Nazis.	The Ekosians had all the attributes and trappings of Nazis down to the persecuting of a people called the Zeons in tos2x23 "Patterns of Force".
space Jews	1368	space stereotype			Aliens with attitudes and mannerisms reminiscent of story book pirates of the caribbean, but in space.	Orion space pirates hijacked a Federation cargo freighter in tas2x01 “The Pirates of Orion”. Contrary to popular belief they did not appear to wield space cutlasses.
space lepers	1378	space stereotype		shotgun wedding	Aliens with the attitudes and mannerism of humble but ill-educated country-folk from pre-globalization days.	Captain Debin chased down Thadiun Okona with all but shotgun and pitchfork in tng2x04 "The Outrageous Okona", intent upon organizing an honorable marriage for his daughter who was thought to be pregnant by Okona.
space Native Americans	1369	space stereotype			Aliens with beliefs and mannerisms reminiscent of the the Ancient Romans.	The natives of planet 892-IV were just like the ancient Romans would have been if they had had 20th century technology in tos2x14 "Bread and Circuses".
space Nazis	1370	space stereotype			Aliens with attitudes and mannerisms reminiscent of 20th century Scottish stereotypes.	Beverly attended her grandmother's funeral on a planet colonized by Scottish admirers in tng7x14 “Sub Rosa”.
space pirates	699	space stereotype			Aliens with attitudes and mannerisms reminiscent of 19th century North American stereotypes.	The Yangs of Omega IV had developed in a close parallel to Earth Yankees until they lost a biological war against the Kohms, in tos2x25 "The Omega Glory".
space rednecks	1379	space stereotype			A sentient being composed of enormous vortex like flows of energy in space.	Such a being trapped and nearly destroyed the Enterprise-D in tng2x13 "Time Squared".
space Romans	1371	space stereotype		world eating space cloud	An amoeba-like being of enormous proportions but with internal components analogous those of living cells, i.e., organelles.	Such a being was encountered in tos2x19 "The Immunity Syndrome".
space Scottish	1372	space stereotype			A being that is alive and sentient yet also functions as a spaceship to other beings.	
space Yankees	1373	space stereotype			An enormous sentient being that resembles a jellyfish, but in space.	Such a creature was imprisoned and exploited by the Bandi in tng1x01 "Encounter at Farpoint", but its mate showed up to rescue it.
energy vortex entity	1139	spaceborne life form			An enormous sentient being that resembles a crystalline growth, but in space.	Lore summoned such a creature to destroy the Enterprise-D in tng1x13 “Datalore”.
giant space amoeba	1177	spaceborne life form			An enormous sentient being that resembles a whale, but in space.	Such a creature was encountered and slain in tng4x16 "Galaxy's Child".
living spaceship	850	spaceborne life form			Plants that have evolved to spread themselves to other planets, e.g., by shooting clouds of spores into space.	The pod plants of Omicron Ceti III had arrived after traversing space as a cloud of spores in tos1x25 "This Side of Paradise".
space jellyfish	1377	spaceborne life form		giant space amoeba	An animal-like being of enormous proportions but with internal components analogous those of a living creature, i.e., organs. The space amoeba is to a cell, as this thing is to an animal.	An enormous cloud like creature from another galaxy almost gobbled up a Federation colony in tas1x03 "One of Our Planets Is Missing".
space snowflake	927	spaceborne life form			A spaceship propulsion technology the idea of which is to use electromagnetic fields to collect hydrogen from space and fuel a fusion process.	The Enterprise-D crew discharged vast amounts of hydrogen from the ship's Bussard collectors in a last ditched attempt to escape from a Tykan's Rift in tng4x17 “Night Terrors”.
space whale	1380	spaceborne life form			A spaceship propulsion technology the idea of which is to create thrust by using electricity to accelerate ionized particles.	An ion-powered starship from Sigma Draconis VI was encountered in tos3x06 "Spock's Brain".
spacefaring plants	1381	spaceborne life form			A spaceship built for voyages longer than an individual’s lifespan and with a view to let the crew procreate and live out their lives on-board.	
world eating space cloud	1530	spaceborne life form			A spaceship built to carry people in extended sleep (i.e. cryogenic stasis) on extended journeys.	
Bussard collector	1008	starship technology			Technology that renders a spaceship invisible.	
ion space drive	1212	starship technology			Technology that makes it possible for a spaceship to fly intact within a sun, i.e., while being somehow shielded from the heat.	Equipped with Dr. Reyga’s metaphasic shield, the shuttlecraft Justman was able to fly safely through the star Vaytan’s dense and unstable Corona in tng6x22 "Suspicions".
multi-generational starship	873	starship technology			Technology that makes it possible for a space ship to somehow fly intact through solid matter.	Rear Admiral Erik Pressman, Riker’s old captain, violated the Treaty of Algeron to bring such technology to the Federation in tng7x12 "The Pegasus".
sleeper starship	923	starship technology			Someone is troubled by worries over an uncertain event in the near future.	
starship invisibility cloak	571	starship technology			Someone feels disoriented and bewildered at being immersed in an unfamiliar culture.	
starship that can fly within a sun	1387	starship technology		ignorance is bliss	Someone is faced with an uncomfortable fact but tries irrationally to deny the evidence.	
starship that can fly within solid matter	1388	starship technology			Someone is at the brink of disaster, defeat, or personal failure and may try desperate actions to avoid the dreaded outcome.	
anxiety	402	state of mind			Someone feels overwhelmed by an emotion or impression, for example by the grandeur of an experience or the gravity of a responsibility, to such an extent that they are speechless and come close to fainting or commit suicide because they can’t handle it all.	Troi was shocked to wake up on a Romulan warbird looking like a Romulan in tng6x14 “Face of the Enemy”.
culture shock	622	state of mind			Someone is feeling bored and depressed with their life and existence.	General Trelane (retired), a.k.a. the Squire of Gothos, held an enterprise landing party against their will to help spice up his life in tos1x18 “The Squire of Gothos”.
denial	411	state of mind			Someone prefers to dream up a fantasy world rather than face reality.	
desperation	102	state of mind			Someone feels distress at being unable to do something about a bad situation.	
emotional overwhelm	345	state of mind			Someone feels that their life lacks purpose and they are achieving nothing meaningful.	
ennui	236	state of mind			Someone is obsessed with (and normally deluded about) their own grandeur, powers, and abilities.	Garth of Izar suffered from delusions of grandeur in tos3x16 "Whom Gods Destroy".
escape from reality	526	state of mind		misandry, misogyny	Someone exhibits prejudice, dislike, or even hatred, of men.	Janice Lester was deeply resentful of Captain Kirk and other men who got ahead because of their sex in tos3x24 "Turnabout Intruder".
feeling of helplessness	642	state of mind		misandry, misogyny	Someone exhibits prejudice, dislike, or even hatred, of humans and humanity.	
feeling of unfulfillment	818	state of mind		misandry, misanthropy	Someone exhibits prejudice, dislike, or even hatred, of women.	Scotty took shore leave on Argelius II in an effort to overcome his "total resentment towards women" in tos20x7 "Wolf in the Fold". He was then accused of brutally murdering a number of women on the planet, but was ultimately found to be innocent.
megalomania	864	state of mind			Someone switches unusually fast or with little provocation between emotions, positive and negative.	
misandry	1252	state of mind			Someone is fixated with a particular idea or objective to the extent that they dangerously neglect other concerns.	Captain Kirk became obsessed with stalking down a vampiric cloud entity in tos2x18 "Obsession".
misanthropy	669	state of mind			Someone is fixated with a project that they have dedicated their life to, to the extent that they dangerously neglect other concerns.	Dr. Richard Daystrom made it his life's work to build a computer so powerful that it could replace Kirk as the captain aboard the Enterprise in tos2x24 "The Ultimate Computer".
misogyny	869	state of mind			The category of themes that are about mental illnesses, i.e., such states of mind that are undesirable and serious enough that professional treatment should be considered.	
moodiness	871	state of mind			Someone exhibits an obsessive enthusiasm related to their religion.	Worf encountered zealous Klingons who resurrected their Messiah in tng6x23 "Rightful Heir".
obsession	141	state of mind			Someone seems to remember only those things that it suits their interests to remember.	Each person remembered events much as they preferred it to have been in the little murder drama of tng3x14 "A Matter of Perspective".
obsession with a life-dedicated project	199	state of mind			Someone isolates themselves from their family, friends, and or community.	
pathological state of mind	96	state of mind	aliens		There is an advanced race of beings that for one reason or another have chosen to become the guardians of a less advanced race.	
religious fervor	1321	state of mind	aliens	out-and-out disembodied alien	A race of beings advanced to the point where shed their now antiquated bodies and began to exist as disembodied brains. 	The Providers of Triskellion had perhaps hocked their bodies in tos2x17 "The Gamesters of Triskelion", for they now subsided as disembodied brains in a subterranean cavern and engaged in all manners of gambling.
selective memory	1345	state of mind	aliens		Aliens said to be native to another dimension is featured. By “another dimension” it is usually meant a reality that is not reachable for us by conventional traversal of space, and that have somewhat different laws of nature.	
withdrawal from society	999	state of mind	aliens		There is a race of beings that have achieved dominance over most other alien races in their galaxy.	The Slavers a billion years ago used their weird mental powers to dominate the galaxy in tas1x14 "The Slaver Weapon".
alien overseers	338	superior life form	aliens		There is a race of beings that don’t have material bodies. They may be electromagnetic patterns, or something entirely beyond our science.	The alien Sargon no longer needed a body at the end of tos2x22 "Return to Tomorrow".
disembodied brain alien	1127	superior life form	aliens		A long gone alien race that left behind a creation of some significance, for example a grand technological construction.	A mysterious maker alien race left an asteroid deflecting obelisk on the planet Amerind in tos3x03 "The Paradise Syndrome".
extra-dimensional alien	527	superior life form	aliens		There is a being whose capabilities are clearly beyond what we can fathom or describe by our science. Their feats often seem like magic and their actions may be either good or evil as judged by human standards.	
galactic master race	1166	superior life form			The idea that some or all of what will happen to us is pre-determined and cannot be influenced by our decisions.	Data was destined to find his own severed head in tng5x26 "Time's Arrow".
incorporeal alien	259	superior life form			The soul or spirit of a deceased person appears after death among the living.	
mysterious maker alien race	207	superior life form		witch doctor	The ritualistic practice of prayer and gesture claimed to elicit divine assistance in healing. This practice is common among certain Christian denominations.	The amnesiac alien called John Doe could heal with a touch in tng3x25 "Transfigurations", just like the Christian Redeemer.
transcendental alien	221	superior life form			The notion that strange monsters are lurking just beyond the horizon.	A number of Barkon IV villagers assumed Data to have been an iceman from the Vellorian Mountains in tng7x16 "Thine Own Self".
destiny	413	superstition			The idea that we are given mysterious signs that, if only noticed and interpreted, tell us something important about the future.	Worf used the Boraalan people’s belief in omens to his advantage in tng7x13 "Homeward".
ghosts	417	superstition			The conviction that the future events of one's live are written in the stars, so to speak, and cannot be changed.	
laying on of hands	1223	superstition			The fradulent practice of peddling unproven "medicines" that are highly unlikely to work as advertised.	
monsters in distant lands	1254	superstition			The idea that a trained mystic can help us communicate with the dead.	Prefect Jaris of Argelius II figured that this with be a good way to resolve the murder case brought against Scotty in tos2x07 "Wolf in the Fold".
omens	1266	superstition			The ritualistic practice among tribal people of crediting supposed magicians with powers of healing, divination, and protection against bad magic conjured by others.	Captain Kirk was made a genuine space shaman after he lost his memories on the planet Amerind in tos3x03 "The Paradise Syndrome".
one cannot cheat fate	880	superstition			There is a kind of supposed magic that involves effigies and images of a target, e.g., voodoo dolls and the like. 	Extradimensional aliens found memories of such things in the human subconsciousness and used the knowledge scare Captain Kirk and his crew in tos2x01 "Catspaw".
quacksalvery	902	superstition			Someone is thought to be able to manipulate objects at a distance, using only the power of their mind.	
seance	1342	superstition		the power of thought	The idea that we can find previously unknown information about the external world merely through looking inwards to our intuitions.	
shamanism	917	superstition		the power of intuition	The idea that our thoughts have power to affect the external world well beyond the mere manipulation of our own bodies.	
sympathetic magic	1401	superstition			Things that are traditionally thought of as not being valid targets for rational inquiry and experimentation are featured. Typically ghosts, spirits, and the like.	Two extradimensional aliens used their mysterious abilities to conjure up a haunted castle and other things from the dark depths of human imagination in tos2x01 "Catspaw".
telekinesis	703	superstition			A Native American ritual used to establish contact with an ancestral spirit to ask for  guidance during a difficult time.	The mystic Traveler posing as a space Native American mystic embarked Wesley on a vision quest to acquire arcane lore in tng7x20 "Journey's End".
the power of intuition	577	superstition		Freudian psychoanalysis	Dreams are interpreted in a highly metaphorical or otherwise esoteric way.	
the power of thought	295	superstition			Someone experiences what it is like to face a fearsome animal or some other kind of beast-like creature.	Captain Kirk was the victim of a nearly fatal mugato attack in tos2x16 “A Private Little War”.
the supernatural	1455	superstition			Someone experiences what it is like to be in a fight to the death.	Spock got the better of Captain Kirk in the mother of all fights to the death in tos2x05 “Amok Time”.
vision quest	1484	superstition			Someone faces their mortal enemy, i.e., someone who would be happy to see them dead.	Captain Picard faced the evil genius Dr. James Moriarty in tng2x03 “Elementary, Dear Data” and tng6x12 “Ship in a Bottle”.
wacky dream interpretation	582	superstition			Someone experiences what it is like when an invading force comes to attack them and their homeland.	The Delta Rana IV colonists faced a Husnock invading force very poorly by getting slaughtered down to the last man in tng3x03 “The Survivors”.
facing a ferocious beast	810	survival			Someone learns what it is like to come up against an opponent that is many times more capable than themselves.	The future of humanity was at stake in tng4x01 “The Best of Both Worlds, Part II” when the Borg came knocking in Sector 001: Earth’s sector.
facing a fight to the death	227	survival			A struggle between human and animal is featured.	Captain Kirk was mauled by a Mugato tos2x16 "A Private Little War".
facing a mortal enemy	91	survival			A struggle between captive and captor is featured.	Butthead aliens held Captain Pike captive with the intention to use him as breeding stock in tos0x01 "The Cage".
facing an invading force	416	survival			A struggle between human and machine is featured.	The Enterprise-D crew were almost overwhelmed by the autonomous planetary defense system of Minosian design in tng1x21 "The Arsenal of Freedom".
facing an overpowering adversary	258	survival			A human struggle to survive the elements is featured. This could be about surviving in blistering cold, scorching heat, raging wind, etc.	Sulu nearly froze to death of Alfa 177 during a geological survey gone wrong in tos1x04 "The Enemy Within".
man vs. beast	353	survival			A human struggles to survive contact with a space anomaly of some kind.	Beverly became trapped in a collapsing warp bubble universe in tng4x05 "Remember Me".
man vs. captivity	171	survival			A human fights supernatural forces, e.g., ghosts.	All manner of hocus-pocus abounded in tos2x01 "Catspaw".
man vs. machine	195	survival			There is a struggle between man and zombie.	
man vs. nature	262	survival			Someone learns what it is like to fight for the survival of the last remnants of their entire race.	
man vs. space anomaly	285	survival			Someone learns what it is like to have barely survived a cataclysmic event that could have wiped out their entire race.	
man vs. the occult	470	survival		brains vs. brawn	An quick and spry person is pitched against a physically powerful opponent in a fight and we wonder which of these qualities is more important for victory.	Captain Kirk was pitted in an epic battle of agility and brains vs. strength against a Gorn captain in tos1x19 "The Arena".
man vs. zombie	546	survival			The use of concealed deadly devices, such as land mines, to gain advantage in warfare is featured.	The Enterprise-D fell afoul of a leftover booby trap from some ancient alien war in tng3x06 "Booby Trap". It filled much the same function as a naval mine, but in space.
survival of one's species	485	survival			A clever person is pitted against a physically powerful opponent in a fight and we wonder which of these qualities is more important for victory.	Captain Kirk was pitted in an epic battle of agility and brains vs. brawn against a Gorn captain in tos1x19 "The Arena".
surviving an existential risk	218	survival			A tense military or political confrontation is brought beyond its safe limits for the dangerous purpose of gaining an advantage when the opponent, it is hoped, backs down first.	
agility vs. strength	1027	the art of war			Someone escapes from their own side and goes over to the enemy, sometimes bringing valuable information with them.	
booby trap	1069	the art of war			One faction uses covert methods such as the planting of spies in order to glean secret information from an opposing faction and thus gain military or political advantage.	
brains vs. brawn	599	the art of war			Combatants decide to attack preemptively because they are convinced their opponent is about to attack.	Worf articulated this combat advice in tng2x02 "Where Silence Has Lease".
brinkmanship	600	the art of war			Combatants decide to run from a battle in which they are at a disadvantage and holds that this is sensible rather than cowardice as it will allow them to fight again later.	
defection	792	the art of war			Combatants take some action to scare and demoralize an enemy.	Giant ape creatures were scared off with technological wizardry in tos1x13 "The Galileo Seven", albeit without lasting success.
espionage	281	the art of war			Tactics suitable for a small disadvantaged force going up against a greater enemy are used. This is not to be confused with terrorist tactics which involve the targeting of civilians.	
first strike tactic	1154	the art of war			Combatants have a military advantage by being at a greater elevation than their opponent. Typically the elevated side gain visibility and can use gravity to their advantage.	Captain Kirk was climbing a mountain in tos1x19 “Arena”. Why was he climbing a mountain? To gain a high ground advantage over a Gorn captain against whom he was pitted in a fight to the death.
flee to fight another day	822	the art of war			The idea that when fighting for one’s belief one must hold to those beliefs even if the enemy does not, because otherwise the fight is for nothing.	This piece of wisdom was vocalized by the Zeon Isak in tos2x23 "Patterns of Force".
fright tactic	1165	the art of war			Combatants engage the enemy in battle only when the advantage is on their side. The underlying principle "He will win who knows when to fight and when not to fight" is found in "The Art of War" by Sun Tzu.	Portal 6-3 educated Riker about this in tng1x05 "The Last Outpost".
guerrilla tactics	653	the art of war			Combatants decide to entice enemy combatants into approaching them under the pretense of weakness.	
high ground advantage	832	the art of war			Someone strives to deceive their opponent, e.g., by pretending to have greater power then they actually do.	
if we adopt the way of the enemy we become the enemy	1199	the art of war			The practice of keeping sensitive military information secret is featured.	
knowing when to fight and when not to fight	1220	the art of war			It is discussed how one should act and maneuver in battle to gain an advantage.	
playing dead tactic	680	the art of war			An individual or faction uses the targeted killing of important people for the purpose of military and political advantage.	A traitorous Klingon conspired with the Romulans to brainwash Geordi into assassinating another Klingon and frame the Federation in tng4x24 "The Mind's Eye".
military bluffing	866	the art of war			Combatants destroy their own resources to prevent an enemy from using them.	Klingons ignited the atmosphere on Indri VIII and destroyed all biological life there in tng6x20 "The Chase" to prevent others from collecting DNA samples.
military secrets	867	the art of war			One faction covertly builds a military base in a location that is strategically sensitive to an opposing faction.	Captain Maxwell did not take well to Cardassian attempts at building a secret base near Federation territory in tng4x12 "The Wounded".
military tactics	354	the art of war			Combatants decide to destroy themselves and their vessel rather than to surrender, and perhaps in order to kill their opponents with themselves.	
political assassination	428	the art of war			Agents live and work among the enemy for a very long time before “becoming active” and taking action on the behalf of their real side.	Half-Klingon emissary K’Ehlayr was dispatch in a refurbished space torpedo at warp 9 to help stop a ship full of frozen Klingon’s who, ignorant that the war was over, were about to wake up and attack Federation colonies in tng2x20 "The Emissary".
scorched earth	1341	the art of war			Combatants take advantage of concealment and the element of surprise to attack an unsuspecting enemy.	
secret military base building	1343	the art of war			A commander is unsure of their subordinate’s loyalty and arranges a temptation to see whether they will commit treason or not.	Romulans tested their commander Jarok’s loyalty by enticing him to defect to the Federation in tng3x10 "The Defector". Jarok was so upset he ingested a felodesine chip to kill himself.
self-destruct tactic	694	the art of war			The ramifications of displaying weakness in front of one’s enemy is featured.	Spcok argued rationally for attack in tos1x08 "Balance of Terror", because anything else would be a sign of weakness.
sleeper agents	1356	the art of war			The problem women have in finding the same career opportunities as men in a male dominated society is featured.	Dr. Janice Lester was convinced that Captain Kirk had had the career she had not, only because of their respective genders in tos3x24 "Turnabout Intruder".
sneak attack tactic	924	the art of war			The woman struggle to become less dependent on others, particularly men, is featured.	Female android Rayna was perhaps oppressively tied to her father and suitor Flint in tos3x21 "Requiem for Methuselah".
test of loyalty	1405	the art of war			The idea that women are more capable of feats than perhaps society and themselves give them credit for.	
the importance of not displaying weakness	1424	the art of war			There is competition between a man and a woman, and emphasis on the different advantages and disadvantages associated with their respective genders.	
equal career opportunities for women	1140	the battle of the sexes			The notion that an expecting mother should have the sole right to decide whether or not she will carry a pregnancy to term is featured.	The senior officers discussed what to do about Troi’s mysterious pregnancy and Worf suggested an abortion in tng2x01 "The Child", but Troi would have none of it.
female independence	1152	the battle of the sexes			Attitudes and actions that were once normal but are now seen intolerably sexist are featured.	
girl power	536	the battle of the sexes			Prejudice against someone because of their gender is featured.	
man vs. woman	426	the battle of the sexes			There is competition between Spock and a woman, and emphasis on the different advantages and disadvantages associated with their respective biologies.	Leila tried in vain to win the cold logical heart of Spock in tos1x25 “This Side of Paradise”.
mother's right to determine pregnancy	1256	the battle of the sexes			The outlandish notion that a woman can be the leader of a group is featured.	
outmoded sexist attitudes	675	the battle of the sexes			The category of theories that are presented as scientific, but do not in fact adhere to accepted scientific standards. They range from the Bermuda Triangle and flying saucers, to the idea that the devil was really an alien.	
sexism in society	393	the battle of the sexes			The category of doctrines and practices that tend to be a part of organized religion. They range from beliefs about the afterlife to pronouncements about the end of the world.	
Spock vs. woman	1019	the battle of the sexes			The category of assorted beliefs that are neither rational nor fall within the typical framework of organized religious activity. They range from faith healing to spirit worship.	
woman in charge	499	the battle of the sexes			The category of themes that fall neatly in the traditional domains of philosophy: ethics, metaphysics, aesthetics, and thoughts about human nature.	
crackpot theory	118	the domain of faith			The category of themes that fall within the scope of modern science, i.e., that are about the building and organizing of knowledge in the form of testable explanations and predictions about the universe.	
organized religion	107	the domain of faith			The category of themes that discuss the best ways to conduct fights and warfare. Humanity should be embarrassed that this is such a large theme group.	
superstition	97	the domain of faith			The category of themes that are about art forms and the study of human society. They range from painting to tap dancing, from calligraphy to stand up comedy, and from rhetoric to anthropology.	
classical philosophy	25	the domain of reason			Someone plays a role in theatre, film, etc.	Data played Henry V in Shakespeare's play of the same name on the holodeck in tng3x10 "The Defector".
modern science	47	the domain of reason			How best to appreciate art is discussed.	
the art of war	76	the domain of reason			Art is discussed critically.	Data found evidence of "unsettling overtones of proto-Vulcan influences" in Picard's painting of a nude model in tng3x14 "A Matter of Perspective".
the fine arts and the humanities	146	the domain of reason			Decorative hadwriting is featured.	Keiko O'Brien fondly recalled having helped her grandmother to create Japanese calligraphic writings in tng5x12 "Violations".
acting	369	the fine arts and the humanities			How best to appreciate films is discussed.	Edith Keeler wanted to catch a Clark Gable film with Captain Kirk in tos1x28 “The City on the Edge of Forever”, but she got herself hit by a car instead.
art appreciation	593	the fine arts and the humanities			How best to appreciate litterature is discussed.	Spock was most impressed with Mr. Flint's taste in literature in tos3x21 "Requiem for Methuselah".
art criticism	1043	the fine arts and the humanities			How best to appreciate music is discussed.	
calligraphy	1075	the fine arts and the humanities			The art of drawing pictures is featured.	
film appreciation	1153	the fine arts and the humanities			The art of stringing words together is featured.	
literature appreciation	1229	the fine arts and the humanities			The art of speaking to a group of people is featured.	Data tried every rhetorical trick in the book on the stubborn colonists of Tau Cygna V the in tng3x02 "The Ensigns of Command", but they insisted they’d rather stay and die fighting the Sheliak.
music appreciation	670	the fine arts and the humanities			The art of shaping materials is featured.	Data sculpted a treble clef at breakneck speed in tng7x17 “Masks”.
painting	553	the fine arts and the humanities			The art of making a group of people laugh is featured.	Data tried to learn the art of stand-up comedy on the holodeck in tng2x04 "The Outrageous Okona" but not even the juxtaposition of female attire and an amphibian briefcase could make him laugh.
poetry	898	the fine arts and the humanities			The art of punishing parquetry using wooden shoes is featured.	Beverly “the dancing doctor” put her tap dancing skills on display in tng4x11 “Data's Day”.
rhetoric	1330	the fine arts and the humanities			The art of playing out stories live is featured.	
sculpture	914	the fine arts and the humanities			The art of playing out absurdist fiction live is featured. Absurdism revolves around existentialism and the idea that human existence has no particular meaning.	Kirk and his team in tos2x12 "I, Mudd" found that such theater does not compute and is therefore an excellent weapon against androids.
stand up comedy	1385	the fine arts and the humanities			The category of themes about problems that we have to face in life. They are further subdivided according to how we must normally strive to deal with them: To endure and not despair, to overcome and not succumb, or to fight rather than flee.	
tap dancing	1403	the fine arts and the humanities			The category of themes that are about individual mental states. They are further subdivided into those that deal with plain dispositions to others, individual emotions, general states of mind, and broader characteristics.	
the theater	578	the fine arts and the humanities			The category of themes that are about what drives us and makes us act with what we perceive as “purpose”. These are themes about our aspirations and needs, pleasures and cherished beliefs.	
theater of the absurd	1462	the fine arts and the humanities			The category of themes that relate to how humans interact with each other as pairs or groups, or with themselves on a high mental level. These are further subdivided according to the subject of interaction: family, other groups, other individuals, or ones self.	
challenges in life	5	the human condition			The category of themes that are about faith, i.e., beliefs that are held to be a matter of instinct or revelation and not subject to rational inquiry by arrogant scientists.	
human personality	2	the human condition			The category of themes that are about the investigation of how the world works by means of logic and the scientific method, i.e., observation and experimentation.	
purpose in life	14	the human condition			The natural process by which life is thought to have arisen from non-living matter such as simple organic compounds.	Q brought Captain Picard back in time and showed him the bubbling pool of ooze from which the first complex organic molecules on Earth would emerge in tng7x25 "All Good Things...".
social interaction	6	the human condition			The process by which the body rids itself of alcohol and, in particular, the time it takes to “sober up”.	Captain Picard explained to Dirgo that alcohol would not quench their thirst but would rather aggravate it in tng4x09 "Final Mission".
the domain of faith	43	the pursuit of knowledge			A collection of methods by which an asteroid could be diverted from colliding with a planetary target.	After the Enterprise had spectacularly failed to divert an asteroid, Captain Kirk accidentally activated an ancient asteroid deflecting device on the planet’s surface in tos3x03 "The Paradise Syndrome".
the domain of reason	11	the pursuit of knowledge			A large and important area of mathematics with applications in all fields of science and engineering.	Young Harry did not understand why he had to study calculus in tng1x17 "When The Bough Breaks". He would much rather have spent his time sculpting dolphins.
abiogenesis	1023	topics in science			The process by which a parent cell divides into two or more daughter cells. There are three types of cell division: binary fission, mitosis, and meiosis.	The giant space amoeba was poised to divide into two giant space amoebas in tos2x19 “The Immunity Syndrome”.
alcohol metabolism	1029	topics in science			The simulation of a system as represented by a mathematical model on computer that is usually too complicated to find analytical solutions.	Geordi and Leah Brahms used such fancy maths to save the day in tng3x06 "Booby Trap".
asteroid deflection	1046	topics in science			A conditional statement containing an if-clause which is contrary to fact. For example: If I had only brought along an umbrella, then I would be dry.	
basic calculus	1056	topics in science			The top-down process of reasoning from one or more general laws to reach a particular conclusion with logical certainty.	
cell division	1077	topics in science			The idea of using DNA, which encodes the genetic instructions used in the development of functioning of all known organisms, to encode a conventional message.	A secret message was found encoded in pieces in the DNA of numerous separate humanoid alien species in tng6x20 "The Chase".
computer-aided mathematical model simulation	1089	topics in science			A very rapid kind of growth by which the amount of a quantity increases at a rate proportional to the amount already present.	
counterfactuals	1112	topics in science			An interesting mathematical eeuqtion famously conjectured by Pierre de Fermat in 1637 in a margin of a copy of Arithemetica, where he claimed he had a proof that was too large to fit in the margin.	Picard tried to prove this age-old theorem in his readyroom in tng2x12 “The Royale”.
deductive logic	344	topics in science			A way to represent a wave-like function as a combination of simple sine waves, named in honor of Jean-Baptiste Joseph Fourier.	Data revealed that the blinking patterns of some Soong-type androids, although seemingly random, were in fact governed by Fourier series, in tng7x10 “Inheritance”.
DNA encoded message	1009	topics in science			A theory of gravitation proposed by Albert Einstein that generalizes special relativity and Newton’s law of universal gravitation, providing a unified description of gravity as a geometric property of space and time.	Holographic recreations of Stephen Hawking, Isaac Newton, and Albert Einstein quibbled about this and other things in tng6x26 "Descent".
exponential growth	806	topics in science			The loss of quality that occurs between subsequent copies of something, as is observed with photocopy of a photocopy of a photocopy. In the natural world, natural selection tends to mitigate this effect.	The repeated cloning of people illustrated this principle in tng2x18 "Up The Long Ladder".
Fermat's last theorem	1011	topics in science			A sequence of numbers where each term after the first is obtained by multiplying the previous one by a non-zero constant.	Sulu explained how Gary Mitchell's psychic ability was increasing geometrically in tos1x01 “Where No Man Has Gone Before”.
