Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
what if I woke up in a savage mirror universe	1475	what if I faced an incredible situation	alternate reality			We imagine what it would be like to suddenly move into a mirror image of our universe where the good people are instead wicked, the kind vicious, and so on.	After transporting back to the Enterprise, Captain Kirk and his team found themselves in a mirror universe where the normally good people were all jerks in tos2x10 "Mirror, Mirror".
what if I woke up in the future	1476	what if I faced an incredible situation	alternate reality			We imagine what it would be like to suddenly move into the future.	Riker woke up sixteen years in the future as captain of the Enterprise-D, or so it seemed, in tng4x08 "Future Imperfect".
what if everyone did whatever they wanted	1477	what if society were different	alternate reality			We imagine what the world would be like if everyone just did whatever they pleased.	In tos1x06 "The Naked Time" everyone got intoxicated on polywater and did whatever they wanted. The Enterprise would have spiraled into the atmosphere of Psi 2000 were it not for the Captain Kirk’s willpower and Dr. McCoy’s ingenuity.
what if everyone turned into zombies	1478	what if society were different	alternate reality			We imagine what the world would be like if everyone in it (except us) turned into zombies.	Wesley dropped by the Enterprise-D for a visit in tng5x06 "The Game" only to find the crew had become a bunch of video game addicted zombies.
what if everyone vanished and I was all alone	1479	what if my life were different	alternate reality			We imagine what it would be like if everyone else in our world suddenly vanished.	Captain Kirk woke up aboard what appeared to be a completely empty Enterprise in tos3x17 "The Mark of Gideon".
what if I couldn't trust the veracity of my senses	1480	what if I faced an incredible situation	alternate reality			We imagine what it would be like if the world our senses reported on became so peculiar that we had to question our own senses and even our sanity.	Sulu couldn't tell whether those were swirling knives out there in space while at the held or whether his eyes were tricking him in tos3x05 "And the Children Shall Lead".
what if my enemy and my ally looked exactly alike and I had to choose between them	1481	what if I faced an incredible situation	alternate reality			We imagine what it would be like in this rather peculiar situation.	Incredibly, Spock faced exactly this situation when Garth of Izar transformed himself to look like Captain Kirk in tos3x16 "Whom Gods Destroy".
what if my life were different	1482	alternate life	alternate reality		what if question	The category of themes that centre around someone experiencing what it would be like if their life were different in some interesting and significant aspect. Many of these themes involve magic or seemingly magical phenomena.	
what if my partner suddenly became possessed by a demon	1483	what if I faced an incredible situation	alternate reality			We imagine what it would be like if a loved one suddenly became possessed by a demon and started doing evil demon things, like hitting us.	Keiko O'Brien's husband Miles became possessed by a malevolent,  disembodied prisoner alien in tng5x15 "Power Play".
what if our fantasies become reality	1484	what if society were different	alternate reality			We imagine what the world would be like if every person’s random fantasies just became real as soon as they imagined them.	The Enterprise crew experienced this sort of alternate reality on the Shore Leave amusement park planet in tos1x17 "Shore Leave", and again in tas1x09 "Once Upon a Planet".
what if society consisted of only children	1485	what if society were different	alternate reality			We imagine what the world would be like if there were only children around.	Captain Kirk and his team found a planet on which all the adults had died from a mysterious disease while the children stayed children for hundreds of years in tos1x11 "Miri".
what if society were different	1486	alternate society	alternate reality		what if question	The category of alternate reality themes which imagine a society of humans or aliens that is different from what we normally experience in some interesting respect.	
what if the Nazis had won	1487	what if society were different	alternate reality			We imagine what the world would be like if the Nazis had prevailed in World War II and come to world dominance.	The possible consequences of a Nazi victory in World War II were explored in tos1x28 "The City on the Edge of Forever".
what if the Roman Empire never fell	1488	what if society were different	alternate reality			We imagine what the world would be like if the Roman Empire had not declined from its peak but simply gone on to become globally dominant into modern times.	Our protagonists came across a planet which was virtually a parallel of Earth up until the 20th century, except that the Roman Empire had somehow survived in tos2x14 "Bread and Circuses".
what if the devil was merely misunderstood	1489	what if society were different	alternate reality			We imagine what the world would be like if the much despised Devil of Christian mythology was real yet not, in fact, evil but merely misunderstood.	The Devil was revealed to be  a well-intending but misunderstood alien in tas1x08 "The Magicks of Megas-Tu".
what if we all lost our memories	1490	what if society were different	alternate reality			We imagine what the world would be like if everyone suddenly lost all their memories.	The entire crew on the Enterprise suddenly lost their memories in tng5x14 "Conundrum", which led to much befuddled and amusing awkwardness.
what is beauty	1491	aesthetics	the pursuit of knowledge			The question of what "beauty" really is is discussed. Why do we call some things "beautiful"?	
what is justice	1492	ethics	the pursuit of knowledge			The vary nature of what is just and what is unjust is discussed.	
what is life	1493	metaphysics	the pursuit of knowledge			The slippery definition of what constitutes "life" is discussed. Nature has a way of befuddling biologists whenever they think they may have pinned it down, and sci-fi can of course speedily go beyond nature into the purely hypothetical.	
what is natural	1494	metaphysics	the pursuit of knowledge			The subtle question of what it means for something to be "natural" contra "unnatural" is discussed. For example: since most people die before reaching 90, is it unnatural to live longer than that? What about 100? 500?	
what is perfection	1495	aesthetics	the pursuit of knowledge			The question of what "perfection" really is, is discussed. Is there such a thing as true perfection?	The sentient space probe Nomadof  tos2x08 "The Changeling" set out to eradicate all imperfections in the universe, but Captain Kirk demonstrated to it that it was itself imperfect.
what is ugly might still be good	1496	life lesson	the human condition			The age old observation that things which are ugly on the surface can yet be good and beautiful on the inside is featured.	The Medusans turned out to be rather nice chaps in spite of being so ugly that a mere glance of them would drive you insane in tos3x07 "Is There in Truth No Beauty?".
what men want	1497	male stereotype	society			The question of what men want out of life or out of prospective mates is discussed.	Scotty, for example, wanted a cabaret dancing girl in tos2x07 "Wolf in the Fold".
what women want	1498	female stereotype	society			What women in contemporary society tend to want out of life is discussed, typically with emphasis on things that men would be less concerned with.	
what's out there	1499	novel sci-fi concept	alternate reality			The category of sci-fi themes that speculate about what we may find out there in the deepest depths of space: dark matter nebulas, quasars, wormholes and an entire parallel antimatter universe, perhaps?	
when in Rome	1500	cross cultural understanding	society		culture	The notion that when you are abroad it is best to adopt the customs of those around you, is featured.	Captain Kirk urged Scotty to refrain from applauding loudly in appreciation of a seductive belly dance at an Argelian cafe, directing the drunken engineer to blink the table light according to Argelian custom in tos2x07 "Wolf in the Fold".
who is the aggressor	1501	views and customs	society			We are shown that in armed conflict, it is often not at all clear who deserves to be labelled the aggressor in the larger view of things.	
witch hunt	1502	organized religion	the pursuit of knowledge			The religious practice, mostly Christian, of hunting down people that are believed to fraternize with the devil.	Captain Kirk was confined and nearly charged with witchcraft in tos3x23 "All Our Yesterdays".
withdrawal from society	1503	state of mind	the human condition			Someone isolates themselves from their family, friends, and or community.	
woman in charge	1504	the battle of the sexes	society			The outlandish notion that a woman can be the leader of a group is featured.	
womanizing	1505	romantic relationship	the human condition			A man engages in numerous casual love affairs with different women.	Thadiun Okona flirted with every skirt in sight in tng2x04 "The Outrageous Okona".
women as irrational bundles of conflicting impulses	1506	female stereotype	society			A woman is featured in a manner suggestive of the stereotype that their sex is illogical.	The presumably genderless and disinterested space probe Nomad concluded that Uhura was a mass of conflicting impulses in tos2x08 "The Changeling".
women's rights	1507	human rights	society			We are made to ponder what rules need to be made in order for women to feel they have the same rights and opportunities as men in society.	The alien woman Kamala was born and raised for no other purpose than to be the perfect mate to an important foreign dignitary in tng5x21 "The Perfect Mate", but don’t women have more than that to offer human (or alien) kind?
workers replaced by machines	1508	past and present moral controversy	society			We are asked to what extent we should fear and, perhaps, oppose the replacement of workers by machines. The day when this definition is written by a computer may not be far off.	McCoy moaned about the M-5 multitronic unit (a computer) taking everyone’s jobs in tos2x24 "The Ultimate Computer".
working parents	1509	parenting	the human condition			The many trials and tribulations involved in rearing a child while both parents work full-time jobs is featured.	Worf found it difficult to care for his son Alexander and make it to meetings on time in tng5x10 "New Ground".
working together in spite of disagreement	1510	group interaction	the human condition		the workplace	People who disagree and dislike each other must seek to work together in spite of their differences.	
working together under stress	1511	group interaction	the human condition		the workplace	People must try to work amicably and efficiently together under heavy stress.	
workplace relations	1512	group interaction	the human condition		the workplace	People form friendships and other interpersonal relationships in the workplace.	
world eating machine	1513	mastering space	alternate reality			An enormous machine that gobbles up entire planets for fuel.	An autonomous but not sentient machine nicknamed "The Planet Eater" from another galaxy came and gobbled up some planets and a Federation starship in tos2x06 "The Doomsday Machine".
world eating space cloud	1514	spaceborne life form	alternate reality	giant space amoeba		An animal-like being of enormous proportions but with internal components analogous those of a living creature, i.e., organs. The space amoeba is to a cell, as this thing is to an animal.	An enormous cloud like creature from another galaxy almost gobbled up a Federation colony in tas1x03 "One of Our Planets Is Missing".
world with déjà vu	1515	alternate laws of nature	alternate reality		wacky	A world where the naïve interpretation of the experience of déjà vu is the correct one.	Senior officers experienced déjà vu because the ship was stuck in a time loop in tng5x18 "Cause and Effect".
world with telepathy	1516	alternate laws of nature	alternate reality		wacky	A world where telepathy constitutes a part of the ordinary operation of natural laws.	
wormhole	1517	what's out there	alternate reality			A hypothetical passage through space-time that would allow vast distances to be quickly traversed.	
wrath	1518	deadly sin	the human condition	rage		A character is overcome with inordinate and uncontrolled feelings of hatred and anger. In practice, this is used for hot-blooded fighting when it is featured as part of the story. Because fighting is common, the bar for calling it a "wrath" theme is quite high.	Worf flew into a violent rage in the aftermath of the murder of his on-again, off-again mate K'Ehleyr in tng4x07 "Reunion".
xenocide vs. foregoing personal gain	1519	personal ethical dilemma	the human condition			Someone must choose whether or not to kill an entire sentient species to acquire wealth. Outlandish as this may sound, mankind has a long history of engaging in intellectual sophistry for the sake of personal gain; remember the North American slave trade.	The miners on Janus VI were faced with that eternal human ethical dilemma: to give up a lucrative source of wealth or kill off a race of intelligent beings, in tos1x26 "The Devil in the Dark".
xenophobia in society	1520	prejudice in society	society			The issue of a large portion of society having hostile and fearful attitudes toward strangers is discussed.	
xenophobic isolationist alien	1521	culturally distinguished life form	alternate reality		aliens	An alien race that chooses to remain apart from the affairs of other aliens, perhaps out of fear of strangers.	The Paxans went to elaborate lengths to hide their home world in tng4x14 "Clues".
you can't force someone to love you	1522	life lesson	the human condition			The time tested wisdom that, no matter how much you want it, you can’t force someone to love you.	Amanda used her Q powers to make Riker act as if he loved her in tng6x06 "True Q" but it wasn’t genuine love.
you have to take chances to get ahead	1523	life lesson	the human condition			Someone takes great risks in order to gain an advantage in life.	Q offered Picard a second chance at life in which Picard choose to play everything safe in tng6x15 "Tapestry"; he ended up as the most dreary kind of person imaginable, a scientist, and speedily repented.
young and old romance	1524	romantic relationship	the human condition			A younger person and an older person embark on a romantic relationship together, with all the troubles and tribulations that may entail.	
young lovers	1525	romantic relationship	the human condition			The mutual passion of two besotted young lovers is featured.	
youthful indiscretion	1526	growing up	the human condition		juvenile	A juvenile does stupid or criminal things as juveniles so often do before they learn better.	
zoo making alien race	1527	culturally distinguished life form	alternate reality		aliens	An alien race that maintains a zoo of other alien races’ members.	The Lactrans kept a zoo of strange aliens gathered from across the galaxy in tas1x15 "The Eye of the Beholder".
über-belligerent alien	1528	culturally distinguished life form	alternate reality		aliens	A race of aliens defined by their abnormally belligerent nature, prominently the Klingons.	The Klingon Worf smashed Geordi's mandolin to smithereens in tng4x20 "Qpid".
to serve in haven vs. to reign in hell	1529	personal ethical dilemma	the human condition			Someone is confronted with option of either serving an insignificant role in a pleasant society, or being part of the elite in a less savory place.	Weyland to join him and reign instead of continuing his life as a servant.
solar sail	1530	starship technology	alternate reality			Massive sail-like sheets that can be folded an unfolded, and are used either to harness solar energy. The energy can be used directly as propulsion or indirectly by being stored as electricity.	The colony ship in Alien: Covenant (2017) solar sails to gather power intermittently.
dysfunctional upbringing	1531	growing up	the human condition			Someone grows up in a family under conditions that professionals would probably describe as  dysfunctional. This typically involves some amount of psychological problems.	
there is nothing to fear but fear itself	1532	life lesson	the human condition			An age old adage which signifies that oftentimes, fear itself is the most dangerous thing we have to fear. Fear may make us do stupid things that break social bonds.	Pennywise in "It" (1990) manipulated people via their innermost fears.
what if I saw strange things no one else could see	1533	what if I faced an incredible situation	alternate reality			This fantastical situation is featured.	
children and candy from strangers	1534	parenting	the human condition			The parental injunction to steer clear of strangers that offer candy is featured.	
powered exoskeleton	1535	real gadget	alternate reality			A machine that surrounds you and enhances your normal human movements.	
inebriated practitioner of medicine	1536	medical ethics	society		crime and punishment	What extent a Doctor may have an extra duty to retain a grip on his faculties while practicing medicine is discussed.	
what if I was super rich	1537	what if my life were different	alternate reality			What would a normal person do with virtually unlimited money?	
the AI singularity	1538	man-made existential risk	alternate reality			The idea that at some point AI will become more advanced than humans. Then they will  accelerate the development of even more advanced AI, and so on ad infinitum. The result will be completely unpredictable and may make humans obsolete in the wink of  an eye, goes the thinking.	
the Turing test	1539	topic in science	the pursuit of knowledge			An idea famously suggested by Allan Turing that when AI can fool humans, they will indeed by intelligent.	
coping with infertility	1540	coping with an affliction	the human condition			Someone struggles to come to term with the fact that they can't make babies of their own.	
automatic surgery machine	1541	fictional apparatus	alternate reality			A non-sentient machine that can nonetheless perform surgery without human supervision.	
actions have consequences	1542	life lesson	the human condition			Someone learns this valuable lesson.	
criminal gang in society	1543	domestic social issue	society			There is a criminal gang and their influence on society is featured.	
transnational institution for peace	1544	diplomacy	society			An institution reminiscent of the UN is featured.	
reasons for war	1545	war	society			The question of why wars happen is taken up.	
democracy	1546	social order	society			The workings of a democracy are featured.	
people bread for organ donation	1547	social ethical dilemma	society			We are asked to what extent, if any, it might be ethically acceptable to create human clones to harvest their organs.	
utopia on the back of human clones	1548	utopia	alternate reality			Society is great because we can make clones to deal with problematic issues.	
knowledge is power	1549	the art of war	the pursuit of knowledge			The age old wisdom that having knowledge that others' lack can be a source of power to influence the actions of others, is featured.	
what if I found out my lover was despicable	1550	what if I faced an incredible situation	alternate reality			Someone unexpectedly finds out something about their lover that is so despicable it makes continuing the relationship unthinkable.	
those who do not remember the past are condemned to relive it	1551	life lesson	the human condition			This time-tested piece of wisdom is demonstrated.	
religious toleration	1552	social order	society			There is a society in which people with drastically different religious beliefs are  seen to treat each others with toleration.	
Nirvana	1553	organized religion	the pursuit of knowledge			The concept of Nirvana found in Hinduism, Buddhism etc. is featured.	
fifth columns	1554	contemporary social issue	society			Inside the governing institutions of society there is an organized group that more or less  clandestinely seeks to undermine and take control from within.	
healing after social upheaval	1555	contemporary social issue	society			The story discusses how societies come to terms (or not) with what has happened after a great social upheaval such as was World War 2.	
religious evangelical vs. progressive	1556	social dichotomy	society			We are asked whether society should be organized along the principles of religious evangelicals or modernist progressives when their respective ideologies are in contradiction.	
parents wishes vs. the good of the patient	1557	medical ethics	society			We are asked to what extent a Doctor must respect the wishes of the parents of a minor when those wishes are seen as being against the good of the child.	
the need to know one's roots	1558	human need	the human condition			It suggested that people need to understand where they come from and who their nearest ancestors are in order to be content.	
handling of industrial accidents	1559	contemporary social issue	society			The issue of how headline grabbing industrial accidents are handled is discussed.	
strikes in society	1560	contemporary social issue	society			The feature of strike action among organized worker groups in society is discussed.	
workers' rights	1561	human rights	society			It is discussed what kind of rights we feel that lowly workers ought to have.	
negotiating deadlock	1562	group interaction	the human condition			Two or more people are in a process of negotiating but neither will budge from their entrenched position.	
the unappreciated and unimportant at the workplace	1563	pecking order	the human condition		the workplace	The ungratifying experience of someone who is at the very bottom rung of the corporate ladder is featured.	
what it is like to be different	1564	group interaction	the human condition			The experiences of someone who is significantly different from everyone else in their surrounding  is featured. Someone might for example be an outcast because of their skin color.	
rearing a child with mental problems	1565	parenting	the human condition			Someone struggles to bring up a child who has serious mental problems, such as ADHD or mood disorders.	
what if society split into more than one distinct race	1566	what if society were different	alternate reality			We imagine what it would be like if there were at least two variants of humans who were genetically different to the point of constituting different races. They might not necessarily recognize each other as equally human.	
femme fatale	1567	female stereotype	society			There is a seductive female character who ensnares a lover and uses them for her own ends, often with danger involved.	
self-control	1568	introspection	the human condition			A character reflects on having lost self-control and acted on base emotions such as fear or anger, etc.	
AI safeguards	1569	AI technology	alternate reality			Ways in which AI can be made safe from becoming kill-all-human machines are discussed. Isaac Asimov's three laws of robotics are a popular example.	
DNA testing	1570	topic in technology	the pursuit of knowledge			Methods by which DNA can be examined are featured. They may, for example, be used to compare people or identify genetic predispositions.	
Leonardo da Vinci	1571	history	the pursuit of knowledge			The well known historical character Leonardo da Vinci is featured, directly or through his works.	
Morse code	1572	topic in technology	the pursuit of knowledge			An historically important method of encoding the alphabet into binary sequences of long and short signals,  often audible beeps.	
SETI	1573	topic in science	the pursuit of knowledge			A contemporary scientific endeavor to search for extraterrestrial intelligence, primarily by employing  powerful telescopes of different kinds and analyzing the received signals.	
a common enemy unites	1574	human nature	the pursuit of knowledge			The tendency humans have of putting differences aside and collaborating when a common enemy appears  is featured.	
a common interest unites	1575	human nature	the pursuit of knowledge			The tendency humans have of putting differences aside and collaborating when something of mutual interest appears is featured.	
a leopard can't change its spots	1576	human nature	the pursuit of knowledge			The human fact that it is often hard or impossible to change such habits as are long ingrained or  inborn, is featured.	
accidental alien destruction of planetary ecosystem	1577	extraterrestrial threat	alternate reality			Otherwise well-meaning aliens inadvertently affect a planets eco-system in a very negative way, for  example by introducing alien pathogens that it cannot cope with, and civilization collapses.	
alien origin of near-death experiences	1578	crackpot theory	the pursuit of knowledge			The crackpot notion that aliens are somehow behind the various weird things people may experience when they are on the brink of death.	
anarchist utopia	1579	utopia	alternate reality			Society is perfect when there are no pesky laws and governments to prevent us from pursuing our dreams.	
anarchy vs. rule of law	1580	social dichotomy	society			An anarchist philosophy of life is contrasted with a philosophy of life that emphasizes law and order.  Anarchist usually means a distaste or disregard for rules.	
anger management	1581	introspection	the human condition			Someone struggles consciously to handle their inner anger.	
anger management issues	1582	introspection	the human condition			Someone struggles consciously to handle their inner anger.	
animal guide	1583	superstition	the pursuit of knowledge			The shamanistic belief in spirit animal guides is featured.	
ankle bracelet	1584	real gadget	alternate reality			A device used to control prisoners.	
anti-science in society	1585	past and present moral controversy	society			The opposition between adherents of a scientific way of thinking with people who  feel threatened by it is discussed.	
antigovernment militia movement	1586	contemporary social issue	society			A militant rebel movement that strives to overthrow the sitting government is featured.	
artificial lungs	1587	human enhancement	alternate reality			Artificially created human lungs.	
astronomy	1588	scientific discipline	the pursuit of knowledge			The scientific discipline of astronomy, the study of celestial objects and phenomena, is highlighted.	
autonomous sentient coworker	1589	AI technology	alternate reality			An artificial co-worker, for example a robot, that is autonomous and sentient.	
bad influence on children	1590	parenting	the human condition			A parent's concern for the bad influence someone may have on their child is noted.	
being ashamed of who you are	1591	introspection	the human condition			Someone thinks about why the feel ashamed for who they are.	
bellicosity	1592	disagreeable characteristic	the human condition			Someone is aggressive and hostile.	
bioengineered human suicide-weapon	1593	human enhancement	alternate reality			Technology used to turn someone into a living walking bomb, for example.	
biological computer virus	1594	what's out there	alternate reality			A virus that is more like real viruses than computer viruses but infects biological  components of a biological computer.	
biological spaceship	1595	starship technology	alternate reality			A spaceship made up of biological components, i.e., cells and such.	
brain memory virus	1596	parasitic life form	alternate reality			A viral life form that embeds itself in the memory parts of the brain of a host.	
bribery in society	1597	contemporary social issue	society			The social problem of people taking bribes is discussed.	
burning the candle at both ends	1598	group interaction	the human condition			Someone is working longer and harder than what they can really cope with.	
career choice	1599	life choice	the human condition			Someone is confronted with the consequential tough decision of which path to pursue in the  development of their career.	
childhood terrors	1600	growing up	the human condition			A child is afraid of something that adults normally know better than to fear, for example  monsters in the dark or the bogeyman.	
choosing between conflicting loyalties	1601	personal ethical dilemma	the human condition			A character has a bond of loyalty tying them to two different people or factions, but these come into conflict and the character must choose one in order not to betray both.	In voy3x06 "Remember", B'Elanna had an alien inspired dream in which she had to choose between saving her lover's life on one hand, and being obedient to her parents on the other.
coming to peace with one's self	1602	introspection	the human condition			A character has had a lengthy internal struggle over some life issue, but finds a way to accept it and be at peace.	In voy1x14 "Faces", B'Elanna learns to accept the Klingon side of herself even though she grew up resenting it.
coming to terms with one's impending death	1603	introspection	the human condition			Someone is about to die, perhaps from a natural illness, comes to accept the fact and become at peace with themselves over it.	
confronting one's latent sexual feelings	1604	introspection	the human condition			Someone has unacknowledged, perhaps socially improper, feelings relating to sex that they start thinking about consciously.	
cooperation vs. competition	1605	social dichotomy	society			We are made to ponder whether it is more important that society and it's laws are centered around (the perhaps utopian idea of) people cooperating for the common good or around (the perhaps realistic assumption of) people working for their own benefit.	
coping with a panicky relative	1606	coping with problematic people	the human condition			A caregiver has to deal with a concerned and emotional relative of the patient.	
coping with a psychological illness	1607	coping with an affliction	the human condition			Someone has a psychological illness and has to learn to live with it.	
coping with a suicidal lover	1608	coping with problematic people	the human condition			Someone has to live with a lover of their's carrying notions of suicide around.	
coping with an envious lover	1609	coping with problematic people	the human condition			Someone has to deal with the fact that their lover is inordinately jealous of perceived and potential rivals.	
coping with an excessively solicitous subordinate	1610	coping with problematic people	the human condition			Someone who is in charge has to deal with a subordinate that is making numerous and/or extravagant requests.	
coping with an insubordinate subordinate	1611	coping with problematic people	the human condition			Someone who is in charge has to deal with a subordinate that is disinclined to obey properly.	
coping with bad cooking	1612	coping with having to do something	the human condition			Someone is subjected to lousily prepared food.	
coping with being a cuckold	1613	coping with social issues	the human condition			A male character has to handle the information that their female love partner  has been physically unfaithful with another man.	
coping with being ill on the job	1614	coping with an affliction	the human condition			Someone experiences symptoms of some illness while at work.	
coping with being separated from someone you love	1615	coping with social issues	the human condition			A character is struggling with relationship issues that come from being far away (or otherwise separated) from the object of their affection for an extended period of time.	
coping with being suspected of something	1616	coping with stress	the human condition			A character struggles with the feelings and social complications that can come with being  suspected of a misdemeanor even without firm evidence.	
coping with getting dumped	1617	coping with social issues	the human condition			A former lovebird deals with the emotional fallout of having been dumped like a sack of potatoes.	
coping with having a bad reputation	1618	coping with social issues	the human condition			A character struggles with the feelings and social complications that can come with having a bad reputation with people around you.	
coping with puberty	1619	coping with life issues	the human condition			A kid struggles with the normal hallmarks of puberty, such as a variety of bodily changes and sexual urges.	
coping with saying goodbye forever	1620	coping with life issues	the human condition			A character is about to leave someone they care about behind forever and struggles with how to take their leave.	
coping with starvation	1621	coping with an affliction	the human condition			A character is deprived of food for a dangerous period of time.	
coping with the death of a new-born	1622	coping with death	the human condition			Someone, typically a parent, struggles with the emotions that can come when a new-born child to which they are beholden expires soon after delivery.	
coping with unwanted sexual urges	1623	coping with life issues	the human condition			A character has carnal urges of which they are ashamed, or that they otherwise don't desire.	
cranial aggression implant	1624	fictional apparatus	alternate reality			A device implanted in the head that makes you more aggressive.	
creationism in society	1625	contemporary social issue	society			The contemporary social issue of how to handle creationist teachings is discussed. Everyone is entitled to their own opinion, of course, but to what extent is it permissible to teach children such nonsense?	
creative writing	1626	the fine arts and the humanities	the pursuit of knowledge			The art of writing original and creative works of poetry, novels, plays, etc. is featured. This is contrasted with, for example, scientific and journalistic writing where creativity has to be constrained by objective facts to a much greater extent.	
cryogenic suspension punishment	1627	human enhancement	alternate reality			People convicted of crimes are frozen by means of cryogenic technology for some time and as a punishment.	
deciding whether to be a parent	1628	life choice	the human condition			Someone wrestles with themselves over whether or not they are ready and willing to axle the mantle  of being a parent.	
decoy tactic	1629	the art of war	the pursuit of knowledge			An object of some sort is used to lure and enemy to move according to one's own machination, for example into a trap.	
desert planet	1630	what's out there	alternate reality			There is a planet where nearly all land is arid, hot and sandy so that it resembles nothing more  than one gigantic desert.	
destroying one's own creation	1631	personal practical dilemma	the human condition			Someone struggles with the tough decision of whether or not they should destroy something they  have created, perhaps because it is causing some kind of mischief.	In voy2x13 "Prototype" B'Elanna found an alien robot and spent much time lovingly restoring and upgrading him. When it turned out that the robot and his kin where completely genocidal, B'Elanna very reluctantly took the decision to destroy the work she had done in order that it would not aid them.
disapproving parent	1632	parenting	the human condition			A parent disapproves of the actions and decisions a child of theirs make, as so often happens.	
discipline in the workplace	1633	group interaction	the human condition			A person in charge is confronted by insubordination and tries to do something about it.	
disciplined leadership vs. flexible leadership	1634	personal practical dilemma	the human condition			Someone in a leadership position weighs what balance of flexibility and friendliness they should adopt vs. how much hard discipline to impose.	
disintegrating romantic relationship	1635	romantic relationship	the human condition			A romantic relationship breaks down and becomes dysfunctional in one of the many ways such a  thing can happen.	
divorce	1636	family affairs	the human condition			Two characters who were formally married go through a divorce.	
donating an organ to save a life	1637	self-sacrifice	the human condition			Someone chooses to donate an organ of their own in order to save someone else's life.	
don't sleep in snow	1638	life lesson	the human condition			The time tested wisdom that it is a bad idea to go to sleep in cold snow, is featured. People who suffer from hypothermia become drowsy and may not wake up if they go to sleep in the cold.	
eidetic memory	1639	topic in science	the pursuit of knowledge			The phenomenon of photographic memory is discussed. Whether such a thing really exists is controversial  among scientists.	
erotic romance novels	1640	the fine arts and the humanities	the pursuit of knowledge			This naughty literary subgenre is featured.	
event horizon	1641	topic in science	the pursuit of knowledge			An event horizon is a boundary in spacetime beyond which events cannot affect an outside observer. This is most commonly associated with black holes where gravity is so sever that from within a certain  distance of them not even light can escape, let alone matter irrespective of its velocity.	
exceedingly avaricious alien	1642	culturally distinguished life form	alternate reality			There is an alien race whose members are characterized by an inordinate desire for accumulating wealth.	
extramarital affair	1643	romantic relationship	the human condition			Someone who is married engages in a sexual encounter or relationship outside the marriage, and deals with the consequences.	
facing a vehicular disaster	1644	facing general adversity	the human condition			Someone is in sinking ship, disintegrating space craft etc. and tries to survive as best they can.	
facing being stranded	1645	facing general adversity	the human condition			Someone is stranded, for example shipwrecked, more or less alone and away from their civilization. They try to survive and be rescued.	
facing one's own death	1646	facing general adversity	the human condition			Someone is confronted with the fact that they are about to die, perhaps because of a terminal illness, and has to come to terms with the fact.	
facing organized pursuit	1647	facing general adversity	the human condition			A character is being pursued by for example the police, a crime syndicate, or some other organized group.	
family life	1648	group interaction	the human condition			The everyday life of a possible human family is featured.	In voy3x22 "Real Life" The Doctor created a stereotypical idealized American family on the holodeck with which he played out classical motifs such as the husband coming home from work to a loving house wife and sitting down to an orderly family dinner. Objecting to this unrealistic fantasy, B'Elanna introduced various elements of dysfunction: The wife became overworked and testy, their teenage son got caught up with a bad crowd of rowdy Klingons, their younger daughter wanted to engage in dangerous activities, etc.
fantasy romance	1649	introspection	the human condition			Someone imagines their own ideal romantic adventure.	
female sexuality	1650	human nature	the pursuit of knowledge			The sexual urges of a female character are notably featured.	
fighting one's inner demons	1651	introspection	the human condition			Someone is haunted by past memories or fictive notions with which they seek to come to grips  in order to function normally.	
figuring out what to do with one's life	1652	life choice	the human condition			Someone lacks a particular sense of purpose and tries to decide what they really want to do in the long term, e.g., choosing a career, a life of adventure, or settling down etc.	
fitting in at work	1653	group interaction	the human condition			Some has troubles getting along smoothly in day-to-day life with their coworkers.	
focusing on the present vs. thinking about the future	1654	life choice	the human condition			Someone is focusing on the future at the expense of the present or vice versa and struggles with finding a reasonable balance between the two.	
forced fatherhood	1655	past and present moral controversy	society			Someone becomes a father against their will and we are asked what this person's responsibilities vis-à-vis his unwanted child should morally be.	In voy2x26 "Basics, Part I" we learn that Seska has stolen some DNA from Chakotay and made herself  pregnant with his child entirely without his cooperation or consent.
freedom of the press	1656	contemporary social issue	society			The oft desirable independence of the Fourth Estate, i.e. news and media, from undue influences by other  branches of government is discussed. What counts as news, and should putative journalists be allowed to  write and say whatever they choose in public forums?	
gestural language	1657	problem of language and meaning	society			Someone communicates by means of large ritualistic gestures, well beyond simple sign language as we are  familiar with it.	
giving birth	1658	parenting	the human condition			A mother gives birth to a child, often with a medical professional present to assist and with a father standing anxiously by.	
grandfather paradox	1659	metaphysics	the pursuit of knowledge			The following kind of paradox is featured: If I go back in time and do something that would prevents me from later going back in time (such as killing my own grandfather), then I can't have gone back in time. But then I won't  have been prevented from going and so I went, and so on. 	
great need vs. compromising one's ethical principles	1660	personal ethical dilemma	the human condition			Someone is torn up over doing something they feel they greatly need to do but that is ethically unsavory to them.	In voy5x26 "Equinox, Part I" it is revealed that the Equinox crew choose to exploit and kill aliens in order to be able to get back to Earth, a voyage that would have taken more than a lifetime otherwise.
group bonding	1661	group interaction	the human condition			More than two people engage in an activity together and thereby form the human bonds that often  come with shared experiences.	
handheld organ extractor	1662	fictional apparatus	alternate reality			A relatively small device by which organs can be extracted from a human body.	
hatred between nations	1663	war	society			There are two sovereign states that despise each other for some reasons, to the extent that war of one sort or another is conceivably imminent.	
having a skeleton in the closet	1664	introspection	the human condition			Someone thinks about a secret they are keeping from everyone else, or at least form the  general public.	
